"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20397","test_checkout_step_one_fills_info","web.tests","Thu May 07 16:23:18 UTC 2026","broken","Thu May 07 16:23:39 UTC 2026","TestCheckoutFlow","test_checkout_flow","",""
"","20398","test_order_summary_shows_total","web.tests","Thu May 07 16:23:39 UTC 2026","broken","Thu May 07 16:23:59 UTC 2026","TestCheckoutFlow","test_checkout_flow","",""
"","20399","test_finish_order_shows_confirmation","web.tests","Thu May 07 16:23:59 UTC 2026","broken","Thu May 07 16:24:20 UTC 2026","TestCheckoutFlow","test_checkout_flow","",""
"","20392","test_back_to_products_after_order","web.tests","Thu May 07 16:24:20 UTC 2026","broken","Thu May 07 16:24:40 UTC 2026","TestCheckoutFlow","test_checkout_flow","",""
"","20397","test_cart_contains_added_items","web.tests","Thu May 07 16:22:58 UTC 2026","broken","Thu May 07 16:23:18 UTC 2026","TestCheckoutFlow","test_checkout_flow","",""
"","251","test_login_empty_password","web.tests","Thu May 07 16:20:55 UTC 2026","passed","Thu May 07 16:20:55 UTC 2026","TestLoginPage","test_checkout_flow","",""
"","680","test_login_with_invalid_credentials","web.tests","Thu May 07 16:20:54 UTC 2026","passed","Thu May 07 16:20:54 UTC 2026","TestLoginPage","test_checkout_flow","",""
"","20400","test_go_to_cart","web.tests","Thu May 07 16:21:57 UTC 2026","broken","Thu May 07 16:22:17 UTC 2026","TestInventory","test_checkout_flow","",""
"","20391","test_cart_badge_updates","web.tests","Thu May 07 16:21:36 UTC 2026","broken","Thu May 07 16:21:57 UTC 2026","TestInventory","test_checkout_flow","",""
"","20393","test_add_products_to_cart","web.tests","Thu May 07 16:22:38 UTC 2026","broken","Thu May 07 16:22:58 UTC 2026","TestCheckoutFlow","test_checkout_flow","",""
"","20393","test_inventory_title","web.tests","Thu May 07 16:20:56 UTC 2026","broken","Thu May 07 16:21:16 UTC 2026","TestInventory","test_checkout_flow","",""
"","20398","test_login_navigates_to_inventory","web.tests","Thu May 07 16:22:17 UTC 2026","broken","Thu May 07 16:22:38 UTC 2026","TestCheckoutFlow","test_checkout_flow","",""
"","305","test_login_locked_user","web.tests","Thu May 07 16:20:54 UTC 2026","passed","Thu May 07 16:20:55 UTC 2026","TestLoginPage","test_checkout_flow","",""
"","240","test_login_empty_credentials","web.tests","Thu May 07 16:20:55 UTC 2026","passed","Thu May 07 16:20:55 UTC 2026","TestLoginPage","test_checkout_flow","",""
"","20376","test_add_one_item_to_cart","web.tests","Thu May 07 16:21:16 UTC 2026","broken","Thu May 07 16:21:36 UTC 2026","TestInventory","test_checkout_flow","",""
"","328","test_login_valid_user","web.tests","Thu May 07 16:20:55 UTC 2026","passed","Thu May 07 16:20:56 UTC 2026","TestLoginPage","test_checkout_flow","",""
